Regiao;Estado;Municipio;Produto;Data da Coleta;Valor de Venda
N;AC;RIO BRANCO;GASOLINA;01/03/22;6,98
N;AC;RIO BRANCO;ETANOL;01/03/22;6,17
N;AC;RIO BRANCO;GASOLINA ADITIVADA;01/03/22;6,98
N;AC;RIO BRANCO;GASOLINA;01/03/22;6,85
N;AC;RIO BRANCO;ETANOL;01/03/22;5,99
N;AC;RIO BRANCO;GASOLINA ADITIVADA;01/03/22;6,85
N;AC;RIO BRANCO;GASOLINA;01/03/22;6,88
N;AC;RIO BRANCO;GASOLINA ADITIVADA;01/03/22;6,95
N;AC;RIO BRANCO;GASOLINA;01/03/22;6,89
N;AC;RIO BRANCO;ETANOL;01/03/22;5,59
N;AC;RIO BRANCO;GASOLINA ADITIVADA;01/03/22;6,99
N;AC;RIO BRANCO;GASOLINA;01/03/22;6,79
N;AC;RIO BRANCO;ETANOL;01/03/22;6,1
N;AC;RIO BRANCO;GASOLINA;01/03/22;6,73
N;AC;RIO BRANCO;ETANOL;01/03/22;5,99
N;AC;RIO BRANCO;GASOLINA ADITIVADA;01/03/22;7,07
N;AC;RIO BRANCO;GASOLINA;01/03/22;6,999
N;AC;RIO BRANCO;ETANOL;01/03/22;5,999
N;AC;RIO BRANCO;GASOLINA ADITIVADA;01/03/22;7,099
N;AC;RIO BRANCO;GASOLINA;01/03/22;6,73
N;AC;RIO BRANCO;ETANOL;01/03/22;5,59
N;AC;RIO BRANCO;GASOLINA ADITIVADA;01/03/22;6,73
N;AC;RIO BRANCO;GASOLINA;01/03/22;6,889
N;AC;RIO BRANCO;ETANOL;01/03/22;5,98
N;AC;RIO BRANCO;GASOLINA ADITIVADA;01/03/22;6,99
N;AC;RIO BRANCO;GASOLINA;01/03/22;7,299
N;AC;RIO BRANCO;GASOLINA ADITIVADA;01/03/22;7,359
N;AC;RIO BRANCO;GASOLINA;01/03/22;6,99
N;AC;RIO BRANCO;ETANOL;01/03/22;6,14
N;AC;RIO BRANCO;GASOLINA ADITIVADA;01/03/22;6,99
N;AC;RIO BRANCO;GASOLINA;01/03/22;7,17
N;AC;RIO BRANCO;GASOLINA ADITIVADA;01/03/22;7,17
NE;AL;DELMIRO GOUVEIA;GASOLINA;01/03/22;7,298
NE;AL;DELMIRO GOUVEIA;ETANOL;01/03/22;5,939
NE;AL;DELMIRO GOUVEIA;GASOLINA ADITIVADA;01/03/22;7,319
NE;AL;DELMIRO GOUVEIA;GASOLINA;01/03/22;7,296
NE;AL;DELMIRO GOUVEIA;ETANOL;01/03/22;5,987
NE;AL;DELMIRO GOUVEIA;GASOLINA;01/03/22;7,277
NE;AL;DELMIRO GOUVEIA;ETANOL;01/03/22;5,938
NE;AL;DELMIRO GOUVEIA;GASOLINA ADITIVADA;01/03/22;7,277
N;AP;MACAPA;GASOLINA;01/03/22;5,75
N;AP;MACAPA;GASOLINA;01/03/22;5,79
N;AP;MACAPA;GASOLINA;01/03/22;5,99
N;AP;MACAPA;GASOLINA ADITIVADA;01/03/22;6,19
N;AP;MACAPA;GASOLINA;01/03/22;5,79
N;AP;MACAPA;GASOLINA;01/03/22;5,79
N;AP;MACAPA;GASOLINA;01/03/22;5,79
N;AP;MACAPA;GASOLINA;01/03/22;5,79
N;AP;MACAPA;GASOLINA;01/03/22;6,1
NE;BA;ILHEUS;GASOLINA;01/03/22;7,17
NE;BA;ILHEUS;ETANOL;01/03/22;5,87
NE;BA;ILHEUS;GASOLINA ADITIVADA;01/03/22;7,17
NE;BA;ILHEUS;GASOLINA;01/03/22;7,05
NE;BA;ILHEUS;ETANOL;01/03/22;5,31
NE;BA;ILHEUS;GASOLINA ADITIVADA;01/03/22;7,05
NE;BA;ILHEUS;GASOLINA;01/03/22;7,399
NE;BA;ILHEUS;ETANOL;01/03/22;5,999
NE;BA;ILHEUS;GASOLINA ADITIVADA;01/03/22;7,499
NE;BA;ILHEUS;GASOLINA;01/03/22;6,99
NE;BA;ILHEUS;ETANOL;01/03/22;5,49
NE;BA;ILHEUS;GASOLINA ADITIVADA;01/03/22;6,99
NE;BA;ILHEUS;GASOLINA;01/03/22;7,179
NE;BA;ILHEUS;ETANOL;01/03/22;5,759
NE;BA;ILHEUS;GASOLINA ADITIVADA;01/03/22;7,199
NE;BA;ITABUNA;GASOLINA;01/03/22;7,04
NE;BA;ITABUNA;ETANOL;01/03/22;5,45
NE;BA;ITABUNA;GASOLINA ADITIVADA;01/03/22;7,04
NE;BA;SALVADOR;GASOLINA;01/03/22;6,93
NE;BA;SALVADOR;ETANOL;01/03/22;5,33
NE;BA;SALVADOR;GASOLINA ADITIVADA;01/03/22;6,93
NE;BA;SALVADOR;GASOLINA;01/03/22;6,97
NE;BA;SALVADOR;ETANOL;01/03/22;5,38
NE;BA;SALVADOR;GASOLINA ADITIVADA;01/03/22;6,99
NE;BA;SALVADOR;GASOLINA;01/03/22;6,93
NE;BA;SALVADOR;ETANOL;01/03/22;5,33
NE;BA;SALVADOR;GASOLINA ADITIVADA;01/03/22;6,93
NE;BA;CAMACARI;GASOLINA;01/03/22;6,93
NE;BA;CAMACARI;ETANOL;01/03/22;5,33
NE;BA;CAMACARI;GASOLINA ADITIVADA;01/03/22;6,93
CO;GO;APARECIDA DE GOIANIA;GASOLINA;01/03/22;6,49
CO;GO;APARECIDA DE GOIANIA;ETANOL;01/03/22;4,49
CO;GO;APARECIDA DE GOIANIA;GASOLINA;01/03/22;6,59
CO;GO;APARECIDA DE GOIANIA;ETANOL;01/03/22;4,49
CO;GO;APARECIDA DE GOIANIA;GASOLINA ADITIVADA;01/03/22;6,64
N;TO;ARAGUAINA;GASOLINA;01/03/22;7,05
N;TO;ARAGUAINA;ETANOL;01/03/22;5,99
N;TO;ARAGUAINA;GASOLINA;01/03/22;6,859
N;TO;ARAGUAINA;ETANOL;01/03/22;5,699
N;TO;ARAGUAINA;GASOLINA ADITIVADA;01/03/22;6,899
N;TO;ARAGUAINA;GASOLINA;01/03/22;7,07
N;TO;ARAGUAINA;ETANOL;01/03/22;5,85
N;TO;ARAGUAINA;GASOLINA ADITIVADA;01/03/22;7,12
CO;GO;GOIANIA;GASOLINA;01/03/22;6,569
CO;GO;GOIANIA;ETANOL;01/03/22;4,439
CO;GO;GOIANIA;GASOLINA ADITIVADA;01/03/22;6,769
CO;GO;GOIANIA;GASOLINA;01/03/22;6,699
CO;GO;GOIANIA;ETANOL;01/03/22;4,449
CO;GO;GOIANIA;GASOLINA ADITIVADA;01/03/22;6,999
CO;GO;GOIANIA;GASOLINA;01/03/22;6,49
CO;GO;GOIANIA;ETANOL;01/03/22;4,49
CO;GO;GOIANIA;GASOLINA ADITIVADA;01/03/22;6,64
CO;GO;VALPARAISO DE GOIAS;GASOLINA;01/03/22;6,857
CO;GO;VALPARAISO DE GOIAS;ETANOL;01/03/22;4,597
SE;MG;BARBACENA;GASOLINA;01/03/22;6,759
SE;MG;BARBACENA;ETANOL;01/03/22;4,689
SE;MG;BARBACENA;GASOLINA ADITIVADA;01/03/22;6,859
SE;MG;BARBACENA;GASOLINA;01/03/22;6,849
SE;MG;BARBACENA;ETANOL;01/03/22;4,759
SE;MG;BARBACENA;GASOLINA ADITIVADA;01/03/22;7,049
SE;MG;BARBACENA;GASOLINA;01/03/22;6,849
SE;MG;BARBACENA;ETANOL;01/03/22;4,759
SE;MG;BARBACENA;GASOLINA ADITIVADA;01/03/22;7,049
SE;MG;BETIM;GASOLINA;01/03/22;6,829
SE;MG;BETIM;ETANOL;01/03/22;4,769
SE;MG;BETIM;GASOLINA ADITIVADA;01/03/22;6,989
SE;MG;BETIM;GASOLINA;01/03/22;6,835
SE;MG;BETIM;ETANOL;01/03/22;4,769
SE;MG;BETIM;GASOLINA ADITIVADA;01/03/22;7,13
SE;MG;BETIM;GASOLINA;01/03/22;6,829
SE;MG;BETIM;ETANOL;01/03/22;4,765
SE;MG;BETIM;GASOLINA;01/03/22;6,825
SE;MG;BETIM;ETANOL;01/03/22;4,765
SE;MG;BETIM;GASOLINA ADITIVADA;01/03/22;7,125
SE;MG;BETIM;GASOLINA;01/03/22;6,999
SE;MG;BETIM;ETANOL;01/03/22;4,999
