Regiao - Sigla;Estado - Sigla;Municipio;Produto;Data da Coleta;Valor de Venda
N;AC;RIO BRANCO;GASOLINA;03/01/22;6,99
N;AC;RIO BRANCO;ETANOL;03/01/22;5,99
N;AC;RIO BRANCO;GASOLINA ADITIVADA;03/01/22;7,05
N;AC;RIO BRANCO;GASOLINA;03/01/22;6,99
N;AC;RIO BRANCO;ETANOL;03/01/22;6,12
N;AC;RIO BRANCO;GASOLINA ADITIVADA;03/01/22;7,05
N;AC;RIO BRANCO;GASOLINA;03/01/22;6,98
N;AC;RIO BRANCO;GASOLINA ADITIVADA;03/01/22;7,08
N;AC;RIO BRANCO;GASOLINA;03/01/22;6,989
N;AC;RIO BRANCO;GASOLINA ADITIVADA;03/01/22;7,139
N;AC;RIO BRANCO;GASOLINA;03/01/22;6,879
N;AC;RIO BRANCO;GASOLINA;03/01/22;6,99
N;AC;RIO BRANCO;GASOLINA ADITIVADA;03/01/22;7,059
N;AC;RIO BRANCO;GASOLINA;03/01/22;6,879
N;AC;RIO BRANCO;GASOLINA;03/01/22;6,97
N;AC;RIO BRANCO;ETANOL;03/01/22;6,1
N;AC;RIO BRANCO;GASOLINA ADITIVADA;03/01/22;6,99
NE;AL;ARAPIRACA;GASOLINA;03/01/22;6,699
NE;AL;ARAPIRACA;ETANOL;03/01/22;5,299
NE;AL;ARAPIRACA;GASOLINA ADITIVADA;03/01/22;6,799
N;AM;ITACOATIARA;GASOLINA;03/01/22;6,89
N;AM;ITACOATIARA;ETANOL;03/01/22;5,99
N;AM;ITACOATIARA;GASOLINA;03/01/22;6,79
N;AM;ITACOATIARA;GASOLINA;03/01/22;6,89
N;AM;ITACOATIARA;GASOLINA;03/01/22;6,79
N;AM;ITACOATIARA;GASOLINA;03/01/22;6,89
N;AM;ITACOATIARA;GASOLINA;03/01/22;6,89
N;AM;ITACOATIARA;GASOLINA;03/01/22;6,89
N;AM;ITACOATIARA;GASOLINA ADITIVADA;03/01/22;6,89
NE;BA;ILHEUS;GASOLINA;03/01/22;7,05
NE;BA;ILHEUS;ETANOL;03/01/22;5,77
NE;BA;ILHEUS;GASOLINA ADITIVADA;03/01/22;7,05
NE;BA;SALVADOR;GASOLINA;03/01/22;6,55
NE;BA;SALVADOR;ETANOL;03/01/22;5,29
NE;BA;SALVADOR;GASOLINA ADITIVADA;03/01/22;6,85
NE;BA;SALVADOR;GASOLINA;03/01/22;6,47
NE;BA;SALVADOR;ETANOL;03/01/22;5,29
NE;BA;SALVADOR;GASOLINA ADITIVADA;03/01/22;6,47
