Regiao;Estado;Municipio;Produto;Data da Coleta;Valor de Venda
N;AC;CRUZEIRO DO SUL;GASOLINA;02/02/22;7,6
N;AC;CRUZEIRO DO SUL;GASOLINA;02/02/22;7,56
N;AC;CRUZEIRO DO SUL;GASOLINA ADITIVADA;02/02/22;7,59
N;AC;CRUZEIRO DO SUL;ETANOL;02/02/22;6,58
N;AC;CRUZEIRO DO SUL;GASOLINA;02/02/22;7,6
N;AC;RIO BRANCO;GASOLINA ADITIVADA;01/02/22;7,04
N;AC;RIO BRANCO;ETANOL;01/02/22;6,09
N;AC;RIO BRANCO;GASOLINA;01/02/22;6,97
N;AC;RIO BRANCO;GASOLINA ADITIVADA;01/02/22;7,06
N;AC;RIO BRANCO;GASOLINA;01/02/22;6,99
N;AC;RIO BRANCO;GASOLINA ADITIVADA;01/02/22;7,04
N;AC;RIO BRANCO;ETANOL;01/02/22;6,09
N;AC;RIO BRANCO;GASOLINA;01/02/22;6,97
N;AC;RIO BRANCO;ETANOL;01/02/22;6,29
N;AC;RIO BRANCO;GASOLINA;01/02/22;7,03
N;AC;RIO BRANCO;GASOLINA ADITIVADA;01/02/22;7,07
N;AC;RIO BRANCO;ETANOL;01/02/22;5,99
N;AC;RIO BRANCO;GASOLINA;01/02/22;6,83
N;AC;RIO BRANCO;GASOLINA ADITIVADA;01/02/22;7,06
N;AC;RIO BRANCO;ETANOL;01/02/22;6,21
N;AC;RIO BRANCO;GASOLINA;01/02/22;6,99
N;AC;RIO BRANCO;GASOLINA ADITIVADA;01/02/22;7,249
N;AC;RIO BRANCO;ETANOL;01/02/22;6,099
N;AC;RIO BRANCO;GASOLINA;01/02/22;7,199
N;AC;RIO BRANCO;GASOLINA ADITIVADA;01/02/22;6,899
N;AC;RIO BRANCO;GASOLINA;01/02/22;6,849
N;AC;RIO BRANCO;GASOLINA ADITIVADA;01/02/22;7,04
N;AC;RIO BRANCO;GASOLINA;01/02/22;6,83
N;AC;RIO BRANCO;GASOLINA ADITIVADA;01/02/22;6,97
N;AC;RIO BRANCO;ETANOL;01/02/22;6,14
N;AC;RIO BRANCO;GASOLINA;01/02/22;6,97
N;AC;RIO BRANCO;GASOLINA;01/02/22;6,98
N;AC;RIO BRANCO;GASOLINA ADITIVADA;01/02/22;7,049
N;AC;RIO BRANCO;ETANOL;01/02/22;6,099
N;AC;RIO BRANCO;GASOLINA;01/02/22;6,979
N;AC;RIO BRANCO;GASOLINA ADITIVADA;01/02/22;7,359
N;AC;RIO BRANCO;GASOLINA;01/02/22;7,299
N;AC;RIO BRANCO;GASOLINA ADITIVADA;01/02/22;7,17
N;AC;RIO BRANCO;GASOLINA;01/02/22;7,17
NE;AL;ARAPIRACA;GASOLINA;02/02/22;6,798
NE;AL;ARAPIRACA;GASOLINA ADITIVADA;02/02/22;6,798
NE;AL;ARAPIRACA;ETANOL;02/02/22;5,198
NE;AL;ARAPIRACA;GASOLINA ADITIVADA;01/02/22;6,899
NE;AL;ARAPIRACA;ETANOL;01/02/22;5,699
NE;AL;ARAPIRACA;GASOLINA;01/02/22;6,799
NE;AL;ARAPIRACA;GASOLINA ADITIVADA;01/02/22;6,969
NE;AL;ARAPIRACA;ETANOL;01/02/22;5,499
NE;AL;ARAPIRACA;GASOLINA;01/02/22;6,799
NE;AL;ARAPIRACA;GASOLINA;02/02/22;6,649
NE;AL;ARAPIRACA;GASOLINA;02/02/22;6,699
NE;AL;ARAPIRACA;GASOLINA ADITIVADA;02/02/22;6,899
NE;AL;ARAPIRACA;ETANOL;02/02/22;5,299
NE;AL;RIO LARGO;ETANOL;03/02/22;5,25
NE;AL;RIO LARGO;GASOLINA;03/02/22;6,499
NE;AL;RIO LARGO;GASOLINA ADITIVADA;03/02/22;6,599
NE;AL;RIO LARGO;ETANOL;03/02/22;5,544
NE;AL;RIO LARGO;GASOLINA;03/02/22;6,749
N;AP;MACAPA;GASOLINA;02/02/22;5,77
N;AP;MACAPA;GASOLINA;01/02/22;5,84
N;AP;MACAPA;GASOLINA;02/02/22;5,84
N;AP;MACAPA;GASOLINA;03/02/22;6,09
N;AP;MACAPA;GASOLINA ADITIVADA;03/02/22;6,29
N;AP;MACAPA;GASOLINA;02/02/22;5,84
N;AP;MACAPA;GASOLINA;01/02/22;5,84
N;AP;MACAPA;GASOLINA;03/02/22;6,1
NE;BA;BARREIRAS;ETANOL;03/02/22;5,099
NE;BA;BARREIRAS;GASOLINA ADITIVADA;03/02/22;6,839
NE;BA;ILHEUS;GASOLINA ADITIVADA;01/02/22;7,27
NE;BA;ILHEUS;ETANOL;01/02/22;5,87
NE;BA;ILHEUS;GASOLINA;01/02/22;7,27
NE;BA;ILHEUS;GASOLINA ADITIVADA;01/02/22;7,27
NE;BA;ILHEUS;ETANOL;01/02/22;5,87
NE;BA;ILHEUS;GASOLINA;01/02/22;7,27
NE;BA;ILHEUS;GASOLINA ADITIVADA;01/02/22;7,399
NE;BA;ILHEUS;ETANOL;01/02/22;5,999
NE;BA;ILHEUS;GASOLINA;01/02/22;7,299
NE;BA;ILHEUS;GASOLINA ADITIVADA;01/02/22;7,27
NE;BA;ILHEUS;ETANOL;01/02/22;5,88
NE;BA;ILHEUS;GASOLINA;01/02/22;7,27
NE;BA;IRECE;GASOLINA;02/02/22;7,151
NE;BA;IRECE;GASOLINA ADITIVADA;02/02/22;7,221
NE;BA;IRECE;ETANOL;02/02/22;5,299
NE;BA;ITABUNA;GASOLINA ADITIVADA;01/02/22;7,209
NE;BA;ITABUNA;ETANOL;01/02/22;5,779
NE;BA;ITABUNA;GASOLINA;01/02/22;7,209
NE;BA;ITABUNA;GASOLINA ADITIVADA;01/02/22;7,24
NE;BA;ITABUNA;ETANOL;01/02/22;5,75
NE;BA;ITABUNA;GASOLINA;01/02/22;7,21
NE;BA;ITABUNA;GASOLINA ADITIVADA;01/02/22;7,39
NE;BA;ITABUNA;ETANOL;01/02/22;5,77
NE;BA;ITABUNA;GASOLINA;01/02/22;7,199
NE;BA;ITABUNA;GASOLINA;02/02/22;7,15
NE;BA;ITABUNA;GASOLINA ADITIVADA;02/02/22;7,25
NE;BA;ITABUNA;ETANOL;02/02/22;5,77
NE;BA;ITABUNA;GASOLINA ADITIVADA;01/02/22;7,2
NE;BA;ITABUNA;ETANOL;01/02/22;5,75
NE;BA;ITABUNA;GASOLINA;01/02/22;7,2
NE;BA;ITABUNA;GASOLINA ADITIVADA;01/02/22;7,2
NE;BA;ITABUNA;ETANOL;01/02/22;5,77
NE;BA;ITABUNA;GASOLINA;01/02/22;7,2
NE;BA;POCOES;GASOLINA;02/02/22;7,1
NE;BA;POCOES;ETANOL;02/02/22;5,25
NE;BA;POCOES;GASOLINA;02/02/22;7,04
NE;BA;POCOES;GASOLINA ADITIVADA;02/02/22;7,04
NE;BA;POCOES;ETANOL;02/02/22;4,99
NE;BA;SALVADOR;GASOLINA ADITIVADA;02/02/22;6,99
NE;BA;SALVADOR;ETANOL;02/02/22;5,99
NE;BA;SALVADOR;GASOLINA;02/02/22;6,83
NE;BA;SALVADOR;GASOLINA ADITIVADA;02/02/22;6,83
NE;BA;SALVADOR;ETANOL;02/02/22;5,33
NE;BA;SALVADOR;GASOLINA;02/02/22;6,99
NE;BA;SALVADOR;GASOLINA ADITIVADA;02/02/22;7,29
NE;BA;SALVADOR;ETANOL;02/02/22;5,69
NE;BA;SALVADOR;GASOLINA;02/02/22;6,89
NE;BA;SALVADOR;GASOLINA ADITIVADA;02/02/22;7,39
NE;BA;SALVADOR;ETANOL;02/02/22;5,39
NE;BA;SALVADOR;GASOLINA;02/02/22;6,83
NE;BA;SALVADOR;GASOLINA ADITIVADA;02/02/22;6,83
NE;BA;SALVADOR;ETANOL;02/02/22;5,33
NE;BA;SALVADOR;GASOLINA;02/02/22;6,83
NE;BA;SALVADOR;GASOLINA ADITIVADA;02/02/22;6,83
NE;BA;SALVADOR;ETANOL;02/02/22;5,33
NE;BA;SALVADOR;GASOLINA ADITIVADA;01/02/22;6,83
NE;BA;SALVADOR;ETANOL;01/02/22;5,33
NE;BA;SALVADOR;GASOLINA;01/02/22;6,83
NE;BA;SALVADOR;GASOLINA;02/02/22;6,87
NE;BA;SALVADOR;GASOLINA ADITIVADA;02/02/22;7,17
NE;BA;SALVADOR;ETANOL;02/02/22;5,37
NE;BA;SALVADOR;GASOLINA;02/02/22;7,109
NE;BA;SALVADOR;GASOLINA ADITIVADA;02/02/22;7,199
NE;BA;SALVADOR;ETANOL;02/02/22;5,519
NE;BA;SALVADOR;GASOLINA;02/02/22;6,86
NE;BA;SALVADOR;GASOLINA ADITIVADA;02/02/22;6,99
NE;BA;SALVADOR;ETANOL;02/02/22;5,36
NE;BA;SALVADOR;GASOLINA;02/02/22;6,83
NE;BA;SALVADOR;GASOLINA ADITIVADA;02/02/22;6,83
NE;BA;SALVADOR;ETANOL;02/02/22;5,33
NE;BA;SALVADOR;GASOLINA;02/02/22;6,83
NE;BA;SALVADOR;GASOLINA ADITIVADA;02/02/22;6,83
NE;BA;SALVADOR;ETANOL;02/02/22;5,33
NE;BA;SALVADOR;GASOLINA;02/02/22;6,99
NE;BA;SALVADOR;GASOLINA ADITIVADA;02/02/22;7,05
NE;BA;SALVADOR;ETANOL;02/02/22;5,69
NE;BA;SALVADOR;GASOLINA;02/02/22;6,83
NE;BA;SALVADOR;GASOLINA ADITIVADA;02/02/22;6,83
NE;BA;SALVADOR;ETANOL;02/02/22;5,33
NE;BA;SALVADOR;GASOLINA;02/02/22;6,999
NE;BA;SALVADOR;GASOLINA ADITIVADA;02/02/22;7,299
NE;BA;SALVADOR;ETANOL;02/02/22;5,69
NE;BA;SALVADOR;GASOLINA;02/02/22;6,99
NE;BA;SALVADOR;GASOLINA ADITIVADA;02/02/22;7,29
NE;BA;SALVADOR;ETANOL;02/02/22;5,69
NE;BA;SALVADOR;GASOLINA;02/02/22;6,98
NE;BA;SALVADOR;GASOLINA ADITIVADA;02/02/22;7,08
NE;BA;SALVADOR;ETANOL;02/02/22;5,68
NE;BA;SALVADOR;GASOLINA;02/02/22;6,99
NE;BA;SALVADOR;GASOLINA ADITIVADA;02/02/22;7,29
NE;BA;SALVADOR;ETANOL;02/02/22;5,69
NE;BA;SALVADOR;GASOLINA ADITIVADA;01/02/22;7,27
NE;BA;SALVADOR;ETANOL;01/02/22;5,69
NE;BA;SALVADOR;GASOLINA;01/02/22;6,97
NE;BA;SALVADOR;GASOLINA;02/02/22;6,83
NE;BA;SALVADOR;GASOLINA ADITIVADA;02/02/22;6,83
NE;BA;SALVADOR;ETANOL;02/02/22;5,33
NE;BA;SALVADOR;GASOLINA;02/02/22;6,83
NE;BA;SALVADOR;GASOLINA ADITIVADA;02/02/22;6,83
NE;BA;SALVADOR;ETANOL;02/02/22;5,33
NE;BA;SALVADOR;GASOLINA;02/02/22;6,83
NE;BA;SALVADOR;GASOLINA ADITIVADA;02/02/22;6,83
NE;BA;SALVADOR;ETANOL;02/02/22;5,33
NE;BA;SALVADOR;GASOLINA;02/02/22;6,972
NE;BA;SALVADOR;GASOLINA ADITIVADA;02/02/22;7,092
NE;BA;SALVADOR;ETANOL;02/02/22;5,872
NE;BA;SALVADOR;GASOLINA;02/02/22;6,81
NE;BA;SALVADOR;GASOLINA ADITIVADA;02/02/22;6,81
NE;BA;SALVADOR;ETANOL;02/02/22;5,23
NE;BA;SALVADOR;GASOLINA ADITIVADA;01/02/22;7,169
NE;BA;SALVADOR;ETANOL;01/02/22;5,359
NE;BA;SALVADOR;GASOLINA;01/02/22;6,969
NE;BA;SALVADOR;GASOLINA;02/02/22;6,81
NE;BA;SALVADOR;GASOLINA ADITIVADA;02/02/22;6,81
NE;BA;SALVADOR;ETANOL;02/02/22;5,23
NE;BA;SALVADOR;GASOLINA;02/02/22;6,83
